Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 6 m.",KIT-IP730-6-25874-1,M,65,0,-7.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 8 m.",KIT-IP730-8-25874-1,M,85,0,-5.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL - Ecommerce",IP730-Ecommerce,UN,0,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL - Ecommerce - 1 m.",IP730-1,UN,10,0,-42.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL",IP871-PAI,UN,11,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce",IP871-KIT-Ecommerce,M,0,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 1 m.",KIT-IP871-25874,UN,16,0,136.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 10 m.",KIT-IP871-10-25874,UN,115,0,13.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 15 m.",KIT-IP871-15-25874,UN,170,0,8.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 2 m.",KIT-IP871-2-25874,UN,27,0,67.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 20 m.",KIT-IP871-20-25874,UN,225,0,6.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 3 m.",KIT-IP871-3-25874,UN,38,0,44.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 4 m.",KIT-IP871-4-25874,UN,49,0,33.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 5 m.",KIT-IP871-5-25874,UN,60,0,26.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 6 m.",KIT-IP871-6-25874,UN,71,0,21.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce - 8 m.",KIT-IP871-8-25874,UN,93,0,16.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2",IP871-KIT-Ecommerce2,M,0,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 1 m.",KIT-IP871-25874-1,M,16,0,136.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 10 m.",KIT-IP871-10-25874-1,M,115,0,13.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 15 m.",KIT-IP871-15-25874-1,M,170,0,8.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 2 m.",KIT-IP871-2-25874-1,M,27,0,67.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 20 m.",KIT-IP871-20-25874-1,M,225,0,6.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 3 m.",KIT-IP871-3-25874-1,M,38,0,44.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 4 m.",KIT-IP871-4-25874-1,M,49,0,33.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 5 m.",KIT-IP871-5-25874-1,M,60,0,26.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 6 m.",KIT-IP871-6-25874-1,M,71,0,21.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL + KIT - Ecommerce 2 - 8 m.",KIT-IP871-8-25874-1,M,93,0,16.0,0,servi
"VINIL JATEADO TRANSP C/0,76 FULL - Transparente",IP871,UN,11,0,132.3,5.71,servi
"VINIL JATEADO TRANSP C/0,76 IMPRIMAX",IP880,UN,14,0,6.5,8.08,servi
"VINIL JATEADO TRANSP C/1,00 IMPRIMAX",IP53,UN,18,0,57.5,10.87,servi
"VINIL JATEADO TRANSP C/1,06 FULL",IP724,UN,16,0,632.3,6.38,servi
